,Ta,RH
2021-07-04 12:20:00,18.83,91.99
2021-07-04 12:30:00,18.58,93.16
2021-07-04 12:40:00,18.5,94.34
2021-07-04 12:50:00,18.66,97.56
2021-07-04 13:00:00,18.88,95.51
2021-07-04 13:10:00,19.32,93.16
2021-07-04 13:20:00,20.1,91.11
2021-07-04 13:30:00,20.93,87.6
2021-07-04 13:40:00,21.53,84.13
2021-07-04 13:50:00,22.15,79.09
2021-07-04 14:00:00,22.64,77.97
2021-07-04 14:10:00,23.03,72.94
2021-07-04 14:20:00,23.39,67.25
2021-07-04 14:30:00,23.24,65.65
